entity_id,state,last_changed
sensor.ugreen_nas_cpu_temperature,59,2026-07-29T07:50:00.000Z
sensor.ugreen_nas_cpu_temperature,61,2026-07-29T08:00:13.991Z
sensor.ugreen_nas_cpu_temperature,59,2026-07-29T08:00:18.967Z
sensor.ugreen_nas_cpu_temperature,68,2026-07-29T08:14:08.993Z
sensor.ugreen_nas_cpu_temperature,75,2026-07-29T08:14:13.967Z
sensor.ugreen_nas_cpu_temperature,71,2026-07-29T08:14:18.981Z
sensor.ugreen_nas_cpu_temperature,75,2026-07-29T08:14:24.019Z
sensor.ugreen_nas_cpu_temperature,79,2026-07-29T08:14:28.968Z
sensor.ugreen_nas_cpu_temperature,83,2026-07-29T08:14:33.967Z
sensor.ugreen_nas_cpu_temperature,77,2026-07-29T08:14:38.983Z
sensor.ugreen_nas_cpu_temperature,73,2026-07-29T08:14:43.970Z
sensor.ugreen_nas_cpu_temperature,77,2026-07-29T08:14:48.981Z
sensor.ugreen_nas_cpu_temperature,79,2026-07-29T08:14:53.982Z
sensor.ugreen_nas_cpu_temperature,74,2026-07-29T08:14:58.984Z
sensor.ugreen_nas_cpu_temperature,79,2026-07-29T08:15:03.967Z
sensor.ugreen_nas_cpu_temperature,74,2026-07-29T08:15:08.978Z
sensor.ugreen_nas_cpu_temperature,78,2026-07-29T08:15:13.968Z
sensor.ugreen_nas_cpu_temperature,82,2026-07-29T08:15:18.969Z
sensor.ugreen_nas_cpu_temperature,77,2026-07-29T08:15:24.001Z
sensor.ugreen_nas_cpu_temperature,72,2026-07-29T08:15:28.973Z
sensor.ugreen_nas_cpu_temperature,78,2026-07-29T08:15:33.966Z
sensor.ugreen_nas_cpu_temperature,82,2026-07-29T08:15:38.982Z
sensor.ugreen_nas_cpu_temperature,87,2026-07-29T08:15:43.968Z
sensor.ugreen_nas_cpu_temperature,80,2026-07-29T08:15:48.970Z
sensor.ugreen_nas_cpu_temperature,76,2026-07-29T08:15:53.967Z
sensor.ugreen_nas_cpu_temperature,81,2026-07-29T08:15:58.968Z
sensor.ugreen_nas_cpu_temperature,76,2026-07-29T08:16:03.982Z
sensor.ugreen_nas_cpu_temperature,79,2026-07-29T08:16:08.981Z
sensor.ugreen_nas_cpu_temperature,75,2026-07-29T08:16:13.984Z
sensor.ugreen_nas_cpu_temperature,80,2026-07-29T08:16:18.967Z
sensor.ugreen_nas_cpu_temperature,75,2026-07-29T08:16:23.989Z
